"Participant","T1 Match","T2 Match","T3 Match","T1 Non-match","T2 Non-match","T3 Non-match"
1,1.0,0.0,0.5,0.14,0.333,0.625
2,1.0,1.0,1.0,0.888,0.875,1.0
3,0.666,1.0,1.0,0.571,1.0,1.0
4,1.0,1.0,1.0,0.8,0.8,1.0
5,1.0,1.0,1.0,0.666,1.0,1.0
6,1.0,1.0,1.0,0.0,0.0,0.0
7,1.0,0.0,1.0,1.0,1.0,1.0
8,1.0,1.0,1.0,1.0,1.0,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,0.555,1.0,1.0
11,1.0,1.0,1.0,1.0,0.666,0.75
12,0.0,1.0,1.0,1.0,1.0,0.5
13,1.0,1.0,1.0,0.857,1.0,1.0
14,1.0,1.0,1.0,0.875,1.0,0.833
15,1.0,1.0,1.0,1.0,0.833,0.833
16,1.0,1.0,1.0,0.875,0.75,1.0
